fullname,price,new_price,year,sellertype,kmdriven,ownertype,fueltype,transmissiontype,mileage,enginecc,maxpowerbhp,seats,pricelakh,price_old
Maruti Alto Std,120000,null,2012,Individual,120000,First Owner,Petrol,Manual,19.7,796,46.3,5,Lower Range,1.2
Hyundai Grand i10 Asta,550000,7.11-7.48,2016,Individual,20000,First Owner,Petrol,Manual,18.9,1197,82,5,Medium Range,5.5
Hyundai i20 Asta,215000,null,2010,Individual,60000,First Owner,Petrol,Manual,17,1197,80,5,Lower Range,2.15
Maruti Alto K10 2010-2014 VXI,226000,null,2012,Individual,37000,First Owner,Petrol,Manual,20.92,998,67.1,5,Lower Range,2.26
Ford Ecosport 2015-2021 1.5 TDCi Titanium BSIV,570000,10.14-13.79,2015,Dealer,30000,First Owner,Diesel,Manual,22.77,1498,98.59,5,Medium Range,5.7
Maruti Wagon R VXI BS IV,350000,5.16-6.94,2013,Individual,35000,First Owner,Petrol,Manual,18.9,998,67.1,5,Lower Range,3.5
Hyundai i10 Sportz 1.2,315000,6.54-6.63,2013,Dealer,40000,First Owner,Petrol,Manual,20.36,1197,78.9,5,Lower Range,3.15
Maruti Wagon R VXI,410000,5.26-7.01,2018,Dealer,17512,First Owner,Petrol,Manual,20.51,998,67.04,5,Lower Range,4.1
Hyundai Venue SX Plus Turbo DCT BSIV,1050000,7.70-13.02,2019,Individual,20000,First Owner,Petrol,Automatic,18.15,998,118.35,5,Higher Range,10.5
Mahindra TUV 300 T6,575000,null,2017,Dealer,70000,First Owner,Diesel,Manual,18.49,1493,100,7,Medium Range,5.75
Tata Indigo LX (TDI) BS-III,305000,null,2015,Individual,50000,First Owner,Diesel,Manual,19.09,1405,69.01,5,Lower Range,3.05
Renault Captur Platine Dual Tone Diesel,1150000,null,2019,Individual,18000,First Owner,Diesel,Manual,20.37,1461,108.49,5,Higher Range,11.5
Maruti Swift VXI with ABS,511000,6.35-9.27,2017,Dealer,28321,First Owner,Petrol,Manual,16.6,1197,85,5,Medium Range,5.11
Nissan Micra XL CVT,410000,null,2016,Dealer,27000,First Owner,Petrol,Automatic,19.34,1198,76,5,Lower Range,4.1
Hyundai Verna 1.6 SX,425000,13.09-18.29,2013,Dealer,65278,First Owner,Diesel,Manual,22.32,1582,126.32,5,Medium Range,4.25
Renault Duster 110PS Diesel RxL Explore,750000,null,2016,Individual,50000,First Owner,Diesel,Manual,19.64,1461,108.45,5,Medium Range,7.5
Mini Cooper Cooper S,3250000,null,2017,Dealer,6000,First Owner,Petrol,Automatic,14.41,1998,189.08,5,Higher Range,32.5
Maruti Ciaz ZDi Plus SHVS,650000,null,2016,Dealer,76000,First Owner,Diesel,Manual,28.09,1248,88.5,5,Medium Range,6.5
Maruti Swift VDI BSIV,627000,null,2016,Individual,20000,First Owner,Diesel,Manual,25.2,1248,74,5,Medium Range,6.27
Mercedes-Benz C-Class C 220 CDI Avantgarde,1425000,51.30-64.08,2014,Dealer,65000,First Owner,Diesel,Automatic,19.27,2143,170,5,Higher Range,14.25
Maruti Swift VDI,425000,null,2014,Dealer,62200,First Owner,Diesel,Manual,28.4,1248,74,5,Medium Range,4.25
Toyota Innova 2.5 GX (Diesel) 8 Seater,605000,null,2013,Individual,110000,First Owner,Diesel,Manual,12.99,2494,100.6,8,Medium Range,6.05
